,lvl12,etime,pressure,gph,temp,rh,dpdp,wdir,station-code,year,month,day,hour,reltime,npv,lattitude,longitude,wspd
116,30,0.0,27371.557166103103,1010.0,0.0,0.0,0.0,150.0,INM00042103,1928.0,7.0,19.0,99.0,30.0,4.0,303833.0,767667.0,65.0
117,30,0.0,27371.557166103103,3893.3333333333335,0.0,0.0,0.0,139.62234198746182,INM00042103,1928.0,7.0,20.0,99.0,30.0,9.0,303833.0,767667.0,62.056657677862276
118,30,0.0,27371.557166103103,1010.0,0.0,0.0,0.0,135.0,INM00042103,1928.0,7.0,21.0,99.0,30.0,4.0,303833.0,767667.0,85.0
119,30,0.0,27371.557166103103,3005.0,0.0,0.0,0.0,220.82513473589455,INM00042103,1928.0,7.0,22.0,99.0,30.0,8.0,303833.0,767667.0,54.81373988759506
120,30,0.0,27371.557166103103,1010.0,0.0,0.0,0.0,130.0,INM00042103,1928.0,7.0,23.0,99.0,1030.0,4.0,303833.0,767667.0,65.0
121,30,0.0,27371.557166103103,680.0,0.0,0.0,0.0,120.0,INM00042103,1928.0,7.0,24.0,99.0,30.0,3.0,303833.0,767667.0,46.666666666666664
122,30,0.0,27371.557166103103,4004.4444444444443,0.0,0.0,0.0,238.5112308763507,INM00042103,1928.0,7.0,25.0,99.0,30.0,9.0,303833.0,767667.0,64.2788799000845
123,30,0.0,27371.557166103106,1408.0,0.0,0.0,0.0,240.0,INM00042103,1928.0,7.0,26.0,99.0,30.0,5.0,303833.0,767667.0,44.0
124,30,0.0,27371.557166103103,1010.0,0.0,0.0,0.0,117.5,INM00042103,1928.0,7.0,27.0,99.0,30.0,4.0,303833.0,767667.0,45.0
125,30,0.0,27371.557166103103,2434.285714285714,0.0,0.0,0.0,259.5144396981652,INM00042103,1928.0,7.0,28.0,99.0,30.0,7.0,303833.0,767667.0,28.358559871537217
126,30,0.0,27371.557166103103,2291.4285714285716,0.0,0.0,0.0,232.85714285714286,INM00042103,1928.0,7.0,29.0,99.0,30.0,7.0,303833.0,767667.0,55.714285714285715
127,30,0.0,27371.557166103103,680.0,0.0,0.0,0.0,272.20035929571884,INM00042103,1928.0,7.0,30.0,99.0,30.0,3.0,303833.0,767667.0,89.50330636692017
128,30,0.0,27371.557166103103,1010.0,0.0,0.0,0.0,317.5,INM00042103,1928.0,7.0,31.0,99.0,130.0,4.0,303833.0,767667.0,70.0
129,30,0.0,27371.557166103103,1010.0,0.0,0.0,0.0,271.25,INM00042103,1928.0,8.0,1.0,99.0,580.0,4.0,303833.0,767667.0,66.25
130,30,0.0,27371.557166103106,1408.0,0.0,0.0,0.0,254.0,INM00042103,1928.0,8.0,2.0,99.0,30.0,5.0,303833.0,767667.0,64.0
131,30,0.0,27371.557166103106,1408.0,0.0,0.0,0.0,279.32021557743127,INM00042103,1928.0,8.0,3.0,99.0,30.0,5.0,303833.0,767667.0,71.7019838201521
